Tanggal,Produk,Kategori,Qty_Terjual,Harga_Satuan,Total_Penjualan,Stok_Setelah_Transaksi
2025-05-09,Jus Kotak,Minuman,8,7000,56000,308
2024-07-23,Biskuit Coklat,Snack,13,9000,117000,302
2023-11-23,Sereal Sarapan,Produk Susu,12,25000,300000,301
2024-11-27,Susu Kental Manis,Produk Susu,5,12000,60000,574
2024-11-20,Minyak Goreng,Sembako,2,28000,56000,412
2023-07-18,Susu UHT,Produk Susu,6,9000,54000,750
2024-12-05,Kopi Botol,Minuman,11,7000,77000,655
2023-03-30,Keju Slice,Produk Susu,12,18000,216000,575
2023-09-13,Yogurt Botol,Produk Susu,15,10000,150000,329
2023-06-11,Susu UHT,Produk Susu,9,9000,81000,741
2025-01-10,Telur Ayam,Sembako,12,30000,360000,340
2023-05-23,Roti Tawar,Snack,1,15000,15000,557
2024-04-11,Kacang Panggang,Snack,14,10000,140000,405
2024-04-21,Mie Ayam Instan,Makanan Instan,14,4000,56000,298
2024-07-23,Susu UHT,Produk Susu,10,9000,90000,731
2025-01-17,Teh Botol,Minuman,6,5000,30000,395
2024-03-05,Teh Celup,Minuman,12,8000,96000,667
2023-05-27,Roti Tawar,Snack,10,15000,150000,547
2023-12-17,Wafer Coklat,Snack,9,8000,72000,402
2024-05-16,Coklat Batang,Snack,4,11000,44000,604
2024-07-06,Susu UHT,Produk Susu,17,9000,153000,714
2024-03-25,Roti Tawar,Snack,12,15000,180000,535
2023-04-25,Teh Botol,Minuman,4,5000,20000,391
2023-03-07,Teh Botol,Minuman,13,5000,65000,378
2025-04-01,Kopi Sachet,Minuman,6,2500,15000,640
2024-10-06,Minyak Goreng,Sembako,6,28000,168000,406
2025-03-21,Air Mineral,Minuman,19,4000,76000,583
2024-06-26,Beras Premium,Sembako,3,75000,225000,437
2024-06-22,Coklat Batang,Snack,14,11000,154000,590
2025-03-28,Susu Kental Manis,Produk Susu,8,12000,96000,566
2025-11-09,Beras Premium,Sembako,9,75000,675000,428
2023-04-07,Sereal Sarapan,Produk Susu,14,25000,350000,287
2023-11-10,Ramen Pedas,Makanan Instan,11,7000,77000,668
2025-05-14,Beras Medium,Sembako,11,65000,715000,414
2025-02-20,Susu UHT,Produk Susu,14,9000,126000,700
2024-05-29,Minuman Isotonik,Minuman,9,8500,76500,507
2023-08-23,Kacang Panggang,Snack,11,10000,110000,394
2024-06-30,Saus Sambal,Sembako,15,13000,195000,617
2023-08-17,Kopi Sachet,Minuman,5,2500,12500,635
2023-11-20,Susu Kental Manis,Produk Susu,8,12000,96000,558
2024-06-23,Indomie Goreng,Makanan Instan,9,3500,31500,618
2023-08-06,Minuman Isotonik,Minuman,14,8500,119000,493
2024-09-03,Wafer Coklat,Snack,16,8000,128000,386
2024-02-12,Minuman Isotonik,Minuman,4,8500,34000,489
2023-11-27,Sereal Sarapan,Produk Susu,9,25000,225000,278
2025-12-22,Sereal Sarapan,Produk Susu,16,25000,400000,262
2024-10-25,Keripik Kentang,Snack,8,12000,96000,339
2025-01-13,Ramen Pedas,Makanan Instan,18,7000,126000,650
2023-04-29,Gula Pasir,Sembako,4,16000,64000,367
2023-06-11,Saus Sambal,Sembako,2,13000,26000,615
2025-09-22,Coklat Batang,Snack,15,11000,165000,575
2025-12-26,Sereal Sarapan,Produk Susu,15,25000,375000,247
2025-08-31,Beras Premium,Sembako,11,75000,825000,417
2025-12-16,Tepung Terigu,Sembako,18,14000,252000,659
2024-02-16,Minyak Goreng,Sembako,13,28000,364000,393
2025-02-03,Susu UHT,Produk Susu,12,9000,108000,688
2024-05-22,Ramen Pedas,Makanan Instan,4,7000,28000,646
2023-02-13,Kopi Sachet,Minuman,10,2500,25000,625
2024-04-16,Jus Kotak,Minuman,10,7000,70000,298
2023-05-26,Indomie Goreng,Makanan Instan,12,3500,42000,606
2023-05-01,Wafer Coklat,Snack,4,8000,32000,382
2023-03-06,Mie Ayam Instan,Makanan Instan,14,4000,56000,284
2023-05-26,Kopi Sachet,Minuman,9,2500,22500,616
2024-07-24,Gula Pasir,Sembako,12,16000,192000,355
2023-09-28,Minyak Goreng,Sembako,12,28000,336000,381
2025-08-26,Kecap Manis,Sembako,8,15000,120000,651
2025-04-13,Keju Slice,Produk Susu,5,18000,90000,570
2025-06-01,Ramen Pedas,Makanan Instan,10,7000,70000,636
2025-08-14,Susu Kental Manis,Produk Susu,15,12000,180000,543
2023-07-21,Kacang Panggang,Snack,1,10000,10000,393
2024-11-25,Susu UHT,Produk Susu,13,9000,117000,675
2024-01-28,Gula Pasir,Sembako,6,16000,96000,349
2023-10-15,Yogurt Botol,Produk Susu,7,10000,70000,322
2024-07-24,Beras Medium,Sembako,8,65000,520000,406
2023-06-04,Kopi Botol,Minuman,8,7000,56000,647
2023-07-20,Keju Slice,Produk Susu,1,18000,18000,569
2023-01-31,Wafer Coklat,Snack,2,8000,16000,380
2024-04-29,Kecap Manis,Sembako,4,15000,60000,647
2025-09-12,Air Mineral,Minuman,8,4000,32000,575
2023-05-01,Saus Sambal,Sembako,3,13000,39000,612
2023-01-05,Susu UHT,Produk Susu,7,9000,63000,668
2025-07-20,Tepung Terigu,Sembako,9,14000,126000,650
2025-09-23,Roti Tawar,Snack,5,15000,75000,530
2024-03-21,Telur Ayam,Sembako,3,30000,90000,337
2023-05-05,Coklat Batang,Snack,12,11000,132000,563
2023-04-28,Kopi Sachet,Minuman,1,2500,2500,615
2025-09-03,Biskuit Coklat,Snack,11,9000,99000,291
2025-11-06,Indomie Soto,Makanan Instan,4,3500,14000,353
2023-05-20,Mie Ayam Instan,Makanan Instan,11,4000,44000,273
2024-04-26,Kopi Botol,Minuman,7,7000,49000,640
2024-05-19,Saus Sambal,Sembako,12,13000,156000,600
2023-06-17,Indomie Soto,Makanan Instan,7,3500,24500,346
2025-12-06,Kacang Panggang,Snack,9,10000,90000,384
2024-10-05,Minyak Goreng,Sembako,5,28000,140000,376
2023-09-26,Susu UHT,Produk Susu,11,9000,99000,657
2024-09-06,Wafer Coklat,Snack,9,8000,72000,371
2023-05-29,Kecap Manis,Sembako,1,15000,15000,646
2023-07-24,Yogurt Botol,Produk Susu,2,10000,20000,320
2024-03-12,Jus Kotak,Minuman,10,7000,70000,288
2024-12-15,Beras Premium,Sembako,15,75000,1125000,402
2024-05-15,Saus Sambal,Sembako,7,13000,91000,593
2025-06-16,Beras Medium,Sembako,17,65000,1105000,389
2025-12-19,Keripik Kentang,Snack,4,12000,48000,335
2023-08-01,Kecap Manis,Sembako,15,15000,225000,631
2024-06-25,Beras Premium,Sembako,2,75000,150000,400
2023-11-15,Coklat Batang,Snack,5,11000,55000,558
2024-03-07,Telur Ayam,Sembako,13,30000,390000,324
2024-06-24,Minyak Goreng,Sembako,10,28000,280000,366
2023-04-15,Tepung Terigu,Sembako,2,14000,28000,648
2025-05-17,Wafer Coklat,Snack,17,8000,136000,354
2023-01-08,Indomie Soto,Makanan Instan,6,3500,21000,340
2023-09-25,Sereal Sarapan,Produk Susu,11,25000,275000,236
2023-11-27,Tepung Terigu,Sembako,12,14000,168000,636
2025-05-25,Yogurt Botol,Produk Susu,10,10000,100000,310
2023-06-04,Ramen Pedas,Makanan Instan,15,7000,105000,621
2023-11-02,Roti Tawar,Snack,9,15000,135000,521
2025-01-26,Indomie Soto,Makanan Instan,12,3500,42000,328
2023-09-19,Susu Kental Manis,Produk Susu,1,12000,12000,542
2025-01-16,Telur Ayam,Sembako,16,30000,480000,308
2025-01-02,Saus Sambal,Sembako,6,13000,78000,587
2023-07-30,Kacang Panggang,Snack,6,10000,60000,378
