Tanggal,Produk,Kategori,Qty_Terjual,Harga_Satuan,Total_Penjualan,Stok_Setelah_Transaksi
2025-03-12,Coklat Batang,Snack,7.0,11000,77000.0,163.0
2025-02-19,Roti Tawar,Snack,9.0,15000,135000.0,436.0
2024-07-21,Susu Kental Manis,Produk Susu,1.0,12000,12000.0,456.0
2024-04-22,Coklat Batang,Snack,15.0,11000,165000.0,250.0
2024-06-17,Beras Medium,Sembako,5.0,65000,325000.0,54.0
2025-01-09,,Produk Susu,,25000,375000.0,68.0
2024-07-01,Susu UHT,Produk Susu,3.0,9000,27000.0,57.0
2025-04-24,Kecap Manis,Sembako,14.0,15000,210000.0,215.0
2023-08-22,Teh Celup,Minuman,15.0,8000,120000.0,378.0
2024-06-05,Susu UHT,Produk Susu,14.0,9000,126000.0,519.0
2023-04-29,Teh Botol,Minuman,4.0,5000,20000.0,411.0
2023-12-23,Tepung Terigu,Sembako,7.0,14000,98000.0,265.0
2024-02-22,Air Mineral,Minuman,6.0,4000,24000.0,385.0
2023-06-26,Coklat Batang,Snack,11.0,11000,121000.0,645.0
2023-05-06,Wafer Coklat,Snack,2.0,8000,16000.0,372.0
2023-10-25,Susu UHT,Produk Susu,1.0,9000,9000.0,294.0
2023-08-10,Indomie Soto,Makanan Instan,11.0,3500,38500.0,79.0
2024-03-28,Beras Medium,Sembako,11.0,65000,715000.0,399.0
2024-01-26,Indomie Goreng,Makanan Instan,2.0,3500,7000.0,590.0
2024-05-29,Coklat Batang,Snack,6.0,11000,66000.0,556.0
2025-07-20,Coklat Batang,Snack,17.0,11000,187000.0,668.0
2024-02-14,Wafer Coklat,Snack,5.0,8000,40000.0,419.0
2025-02-20,Saus Sambal,Sembako,8.0,13000,104000.0,332.0
2024-05-28,Mie Ayam Instan,Makanan Instan,14.0,4000,56000.0,335.0
2024-11-27,Susu Kental Manis,Produk Susu,5.0,12000,60000.0,574.0
2025-10-28,Kecap Manis,Sembako,15.0,15000,225000.0,129.0
